,username,date,message,topic
17,Chess19,29 novembre 2022 à 09:24:15," Que veux-tu, s'ils devaient arranger les choses ils seraient obligés d'avouer qu'ils ont fait fausse route pendant des décennies, et que ceux qu'ils appelaient fachos avaient en fait raison , Du coup ils font des threads Twitter pour se sentir exister (mais avec des réponses filtrées hein !) ",Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
18,PROUTINENT,29 novembre 2022 à 09:24:29, Mérité pour ce gauchiste de merde ,Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
19,MacronZeBoss,29 novembre 2022 à 09:25:14,  ,Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
0,Demaenetus,29 novembre 2022 à 09:41:48," Là je suis en train de faire un dossier pour le renouvellement , Et j'ai reçu une lettre de la caf me disant que je pouvais toucher l'aah sans limitation de durée ,    ",Je touche L'AAH
1,MacronZeBoss,29 novembre 2022 à 09:42:46, Ok l'handicapé.  ,Je touche L'AAH
2,Demaenetus,29 novembre 2022 à 09:42:52, AAH à vie  je peux m'acheter une maison de village à la campagne  ,Je touche L'AAH
3,Demaenetus,29 novembre 2022 à 09:43:33, Et oui mais je préfère ma vie à celle d'un esclave  ,Je touche L'AAH
4,Courageuh_4,29 novembre 2022 à 09:44:30, Eh merce Véroniquent   ,Je touche L'AAH
5,Line0_7,29 novembre 2022 à 09:44:59, Putain le dream. ,Je touche L'AAH
6,Courageuh_4,29 novembre 2022 à 09:45:09, Mais vu ton deuxième lien rien n'est certifié à 100% encore si ? Pour la durée illimitée ,Je touche L'AAH
7,MPLS,29 novembre 2022 à 09:45:18, d'accord l'handicapé n'oublies pas tes cachetons surtout pendant qu'on vit notre meilleur vie ,Je touche L'AAH
8,DeathCronatrap,29 novembre 2022 à 09:46:04,  ,Je touche L'AAH
9,Demaenetus,29 novembre 2022 à 09:47:24," , Oui dream AAH  Si c'est accordé à vie j'irais vivre dans la Bretagne , Non rien n'est certifié à 100% je fais juste la demande là, Rage pas  ",Je touche L'AAH
10,SoldatGaulois80,29 novembre 2022 à 09:47:52, Je gagne 4X ton salaire d'handicaper en foutant rien    Je te laisse pas 2 ans avant que t'es une merde le déchet   ,Je touche L'AAH
11,MPLS,29 novembre 2022 à 09:48:33," rente immobillière, je touche 5x ton AAH sans rien faireallez ciao l'handicapé mental  ",Je touche L'AAH
12,Courageuh_4,29 novembre 2022 à 09:49:06," Oui viens en Bretagne clé, enfin choisis bien car ça peut être soit l'enfer soit le ParadisL'enfer perso mais bientôt en bord de mer et appartement ou maison bien isolée ",Je touche L'AAH
13,Davidlynchage23,29 novembre 2022 à 09:49:29, Moi aussi mais j'ai entre 50% et 79% ,Je touche L'AAH
14,MacronZeBoss,29 novembre 2022 à 09:49:55," Pareil je gagne 4 fois son salaire le taff est tranquille et y'a une bonne ambiance on rigole bien., L'op chez lui seul avec 850€.  ",Je touche L'AAH
15,Davidlynchage23,29 novembre 2022 à 09:52:08," On conjugue donc : , Avant que je suis une merdeAvant que tu es une merdeAvant qu'il est une merdeAvant que nous sommes des merdesAvant que vous êtes des merdesAvant qu'ils sont des merdes ",Je touche L'AAH
16,Krovan37,29 novembre 2022 à 09:52:18," Télétravail dream, Jen branle pas une aujourd’hui et j’ai un bien meilleur salaire que ton allocation l’op , Paix sur toi quand même  ",Je touche L'AAH
17,PoufPouetPouf,29 novembre 2022 à 09:52:47, 4x l'AAH sans même savoir écrire ? GG ,Je touche L'AAH
18,RalphDibny,29 novembre 2022 à 09:53:09, oui mais tu es imposable   ,Je touche L'AAH
19,Krovan37,29 novembre 2022 à 09:54:23," Et alors ? Je me retrouve avec beaucoup plus que toi à la fin du mois, + une retraite qui sera plus élevée  ",Je touche L'AAH
0,APT-PURGE,29 novembre 2022 à 09:16:00," Ils sont où el famoso bénéfices tant ventax ? , J'ai juste envie de me fap , Bon au moins, ça m'a permis de stop le pron, donc je suppose que c'était pas totalement vain , Jeudi (le premier décembre) j'vais me taper une de ces éjac  ",29 jours de NOFAP = toujours 0 BENEFICES
1,kobemuls,29 novembre 2022 à 09:16:57, Ça arrivera quand tu t'y attendra le moins ,29 jours de NOFAP = toujours 0 BENEFICES
2,Pingouin_005,29 novembre 2022 à 09:17:23," Eh oui, ça ne sert à rien., Les incels repoussants qui pensent qu'arrêter de se la toucher augmente la testo, alors qu'ils auront toujours 0 couille (pleine  ) d'aborder les filles. ",29 jours de NOFAP = toujours 0 BENEFICES
3,APT-PURGE,29 novembre 2022 à 09:17:59, Comme mon dépucelage ?  ,29 jours de NOFAP = toujours 0 BENEFICES
4,Moine-Samourai,29 novembre 2022 à 09:18:29," La masturbation est un acte naturelle qui a une utilité psychologique et physiologique., Je ne comprend pas pourquoi vous vous infligez cette torture, alors que c'est le meilleur anti-stress naturelle. Même les singes se tapent des queues après une montée d'adrénaline., Tu as cru que tu allais te transformer en super clé de level 3 comme Sangoku en arrêtant de tirer sur ton bout ?, Pauvre clé influençable.,  ",29 jours de NOFAP = toujours 0 BENEFICES
5,APT-PURGE,29 novembre 2022 à 09:18:33, J'peux pas aborder je suis trop HORNY  ,29 jours de NOFAP = toujours 0 BENEFICES
6,DanGreen,29 novembre 2022 à 09:18:40, Si tu t'astouilles 3 fois par jour depuis 15 ans ça va pas changer du tout au tout en un moins ,29 jours de NOFAP = toujours 0 BENEFICES
7,AntoineFandePS3,29 novembre 2022 à 09:19:08," C'est du placébo, voilà la redpill  ",29 jours de NOFAP = toujours 0 BENEFICES
8,APT-PURGE,29 novembre 2022 à 09:19:57," 3 fois par jour seulement en week-end, sinon on est plutôt sur du 1/jour  ",29 jours de NOFAP = toujours 0 BENEFICES
9,APT-PURGE,29 novembre 2022 à 09:20:49," Le concept du placebo, c'est pas justement d'avoir une amélioration qui est faussement lié à un comportement ? , Car j'ai 0 amélioration, je suis le même qu'au 01/11, juste BEAUCOUP plus HORNY  ",29 jours de NOFAP = toujours 0 BENEFICES
10,artistepenseur,29 novembre 2022 à 09:22:00," Surtout que le pic de testo quand tu n'ejac pas arrivé au bout d'1 semaine, après ça redescend ",29 jours de NOFAP = toujours 0 BENEFICES
11,DanGreen,29 novembre 2022 à 09:22:06, Non.Gros malaise les coomers. ,29 jours de NOFAP = toujours 0 BENEFICES
12,APT-PURGE,29 novembre 2022 à 09:22:48," sauf que j'ai eu des éjacs nocture, donc j'ai eu plusieurs pic de testo, c'est relou  ",29 jours de NOFAP = toujours 0 BENEFICES
13,DrRaoulDuke2,29 novembre 2022 à 09:23:14," le nofap, c est comme le wokisme...une connerie sans intérêt à la mode suivie par une bande de mouton crédule   ",29 jours de NOFAP = toujours 0 BENEFICES
14,MeteoriteDeCum,29 novembre 2022 à 09:23:36," clé va te branler c'est bon, juste pas sur du pornOn vous a déjà répété 1000 fois , masturbation : normalporno : mauvais ",29 jours de NOFAP = toujours 0 BENEFICES
15,Steinherr,29 novembre 2022 à 09:24:08, Encore un mois et tu maîtriseras les éléments  ,29 jours de NOFAP = toujours 0 BENEFICES
16,APT-PURGE,29 novembre 2022 à 09:24:41," Non, je me faperais le 01/12, pas avant  ",29 jours de NOFAP = toujours 0 BENEFICES
17,APT-PURGE,29 novembre 2022 à 09:25:07," La foudre &gt; all, en dépit de  ",29 jours de NOFAP = toujours 0 BENEFICES
18,MeteoriteDeCum,29 novembre 2022 à 09:26:43," D'un point de vu symbolique je comprends que tu ais envie de passer le cap des 1 moisJ'espère qu'après ça tu arrêteras le porn, ou au moins que tu réduiras ta conso ",29 jours de NOFAP = toujours 0 BENEFICES
19,BEAST_1,29 novembre 2022 à 09:28:37," Le problème c'est que à chaque fois que je go branlette sans porn, je finis toujours par reglisser  ",29 jours de NOFAP = toujours 0 BENEFICES
0,,28 novembre 2022 à 14:54:35," Pour une raison que j'ignore, le topic originel à sauté. On attend sa restauration.Il s'avère que des p'tits malins crééent un tas de doublons et s'amusent à delete leur topic pour faire rager. (Sûrement des rageux de la défaite contre le Maroc  )Du coup, ce topic servira de topic officiel en attendant la restauration de l'original.  Bises les kheys. ,                                ,  La Coupe du monde de football de 2022 est la 22ème édition de la Coupe du monde de football masculin, compétition organisée par la FIFA et qui réunit les meilleures sélections nationales. Elle se déroule au Qatar du 21 novembre au 18 décembre 2022.La Coupe du monde de 2022 est la septième et dernière édition du Mondial à compter 32 participants (depuis 1998), le tournoi passera à 48 équipes en 2026 ,          , 🎶 Hymne officiel du Mondial 2022 🎶Trinidad Cardona, Davido and Aisha - Hayya Hayya : https://www.youtube.com/watch?v=vyDjFVZgJoo, Coup d'envoi du match d'ouverture ( Qatar - Équateur ) donné à 13H (Heure de Doha) 12H (Heure de Paris) au Stade Al Bayt, Al-Khor:g),          , ⚽️ 32 équipes du monde entier ⚽️ 8 groupes de 4 équipes chacune ⚽️ 64 rencontres⚽️ 8 stades, Les groupes:,  , 📅 CALENDRIER DES MATCHES: 📅,  (phase de groupes A à D) (phase de groupes E à H) (1/8 à 1/2 de finale) (Finales),  Coup d'envoi du match de fermeture donné à 18H (Heure de Doha) 17H (Heure de Paris) au Lusail Iconic Stadium, Lusail:g),          ,  Les 3 matches des bleus à ne pas manquer sur TF1: , Stades sélectionnés pour la Coupe du Monde 🏟,  ,  Liens utiles:, TF1 : https://www.tf1.fr/direct Fr2 : https://www.france.tv/france-2/replay-videos/ M6 : https://www.6play.fr/m6/direct W9 : https://www.6play.fr/w9/directbeIN SPORTS (15 €/mois sans engagement) : https://connect.beinsports.com/france/,         , Equipe de France : https://www.fff.fr/ Twitter EdF : https://twitter.com/equipedefranceYoutube EdF : https://www.youtube.com/channel/UCeJlXGyEl7kBgQJKADAHM3A, Actualités : https://www.google.fr/search?q=coupe+du+monde+2022&amp;biw=1366&amp;bih=657&amp;tbm=nws&amp;ei=pCVHYtWjNo74gQbT4L6oBQ&amp;ved=0ahUKEwjVhZ3xofP2AhUOfMAKHVOwD1UQ4dUDCA0&amp;uact=5&amp;oq=coupe+du+monde+2022&amp;gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAzILCAAQgAQQsQMQgwEyCwgAEIAEELEDEIMBMgsIABCABBCxAxCDATILCAAQgAQQsQMQgwEyCwgAEIAEELEDEIMBMgsIABCABBCxAxCDATILCAAQgAQQsQMQgwEyCwgAEIAEELEDEIMBMgsIABCABBCxAxCDATILCAAQgAQQsQMQgwE6CAgAELEDEIMBOgQIABBDOgUIABCABDoICAAQgAQQsQNQ8gdYpglg2RFoAHAAeACAAV6IAZACkgEBM5gBAKABAcABAQ&amp;sclient=gws-wiz-news,  Stickers du supporter :           ","🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
1,Always-Winners,28 novembre 2022 à 14:55:07, 2-0 résultat logique?  que peut t-on attendre de cette équipe de Corée ?  ,"🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
2,fion2pvtiste,28 novembre 2022 à 14:55:13, Je regarde le match depuis seoul je vous assure que ça tire la gueule ici ahi ,"🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
3,Castanerdi,28 novembre 2022 à 14:55:26, Youpi  ,"🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
4,AnjouAstral46,28 novembre 2022 à 14:55:32," First + la modo est incompétente d'après mon VDD, c'est pas moi qui le dit ","🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
5,DimorphismeQUI,28 novembre 2022 à 14:55:32," Enfin, bougez-vous quoi  ","🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
6,Bert-Ro2,28 novembre 2022 à 14:55:36, Enfin !!!! ,"🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
7,Euron,28 novembre 2022 à 14:55:38," Premiere pagination, Edit : soutien inconditionnel et sans failles à mon pays, la grande Belgique   ","🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
8,Wiverns4,28 novembre 2022 à 14:55:42, Vivement la restauration ,"🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
9,Godzao_V5,28 novembre 2022 à 14:55:43,    ,"🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
10,SUNTZU-999,28 novembre 2022 à 14:55:44," ALLEZ LES BLEUS  ,  ","🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
11,Hanouna2027,28 novembre 2022 à 14:55:47," Oui , Comme beaucoup de topics que les auteurs s'amusent à supprimer  ","🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
12,Mebesir6,28 novembre 2022 à 14:55:47, Ah enfin alors c'était pas vous les 410 ?  ,"🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
13,Hitmap22,28 novembre 2022 à 14:55:48,    ,"🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
14,Always-Winners,28 novembre 2022 à 14:55:55,   ,"🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
15,War_Dawn,28 novembre 2022 à 14:55:58, MODO SUPPRIME  ,"🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
16,FinirDansSlip,28 novembre 2022 à 14:56:00, Yes papy ,"🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
17,Hanouna2027,28 novembre 2022 à 14:56:01,  ,"🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
18,Euron,28 novembre 2022 à 14:56:08, Allez les diables rouges  ,"🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
19,RevueDePresseUL,28 novembre 2022 à 14:56:12," ahi adieu le premier papyrus, coup dur  ","🏆⚽️ Coupe du Monde de la FIFA 2022, Qatar ⚽️🏆."
0,Fenharel42,27 novembre 2022 à 19:51:47," Ba alors ils font la promo de la pédophilie avec des ""clins d'oeil"" caché en rapport avec la pédophilie notamment les yeux de la peluche , ou les papier judiciaire poarlant de ""child abuse et de virtual porn child"" , et aucun média n'en parle? étonnant dis donc , les golems qui nous disent ""gné gné complotiste "" ils sont ou? ","la pédophilie de Balenciaga , personne en parle dans les médias?:)"
1,Lefeu14,27 novembre 2022 à 19:52:33, Envoie un lien khey ,"la pédophilie de Balenciaga , personne en parle dans les médias?:)"
2,62cup,27 novembre 2022 à 19:52:52, les médias leurs appartiennent ,"la pédophilie de Balenciaga , personne en parle dans les médias?:)"
3,JackLeVert_007,27 novembre 2022 à 19:53:19," Il est catholique, donc ça n'intéresse pas 'es fachos ","la pédophilie de Balenciaga , personne en parle dans les médias?:)"
4,daronachier,27 novembre 2022 à 19:53:40," ""Aucun média n'en parle ? COMPLOT "" , https://www.bfmtv.com/replay-emissions/le-choix-d-angele/le-choix-de-marie-le-nouveau-bad-buzz-de-balenciaga-pour-sa-campagne-polemique-avec-des-enfants_VN-202211250123.html, https://www.lefigaro.fr/industrie-mode/balenciaga-s-excuse-pour-sa-campagne-tres-controversee-mettant-en-scene-des-enfants-20221123, + Je suis plus inquiet par le nombre de délit incestueux commis, et ça par contre, tout le monde s'en tape, notamment les complotiste comme toi ","la pédophilie de Balenciaga , personne en parle dans les médias?:)"
5,DamsoCrate22,27 novembre 2022 à 19:53:41," "" catholique "" ","la pédophilie de Balenciaga , personne en parle dans les médias?:)"
6,Egaux,27 novembre 2022 à 19:53:48," Les médias ne sont là que pour donner la marche à suivre aux gueux , Pour ça qu’ils sont aussi obvious dans leurs clin d’œil malsain, ils savent qu’il y a 0 risque après un tel conditionnement de masse ","la pédophilie de Balenciaga , personne en parle dans les médias?:)"
7,Fenharel42,27 novembre 2022 à 19:54:00, https://twitter.com/shoe0nhead/status/1594532715126202368 ,"la pédophilie de Balenciaga , personne en parle dans les médias?:)"
8,JackLeVert_007,27 novembre 2022 à 19:54:48, Oui ,"la pédophilie de Balenciaga , personne en parle dans les médias?:)"
9,Fenharel42,27 novembre 2022 à 19:55:06," ""bad buzz campagne polémique"", c'est comme ça que t'appelle la pédophilie? une simple ""polémique"" et un ""bad buzz""?  ","la pédophilie de Balenciaga , personne en parle dans les médias?:)"
10,Istarabulator,27 novembre 2022 à 19:55:14," J'y vois plutôt une tentative de faire le beuz, il n'avait pas imaginé le rapprochement avec la pédophileQu'est ce que cela leur rapporterai sinon ? ","la pédophilie de Balenciaga , personne en parle dans les médias?:)"
11,Lefeu14,27 novembre 2022 à 19:55:30, Ha les fdp mais comme dab ils auront rien du tout  ,"la pédophilie de Balenciaga , personne en parle dans les médias?:)"
12,EdnaTheXII,27 novembre 2022 à 19:56:51," En même temps, pour ce qui est de Balenciaga, il suffit de voir leurs vêtements pour comprendre que c'est l'oeuvre du Malin lui même  ","la pédophilie de Balenciaga , personne en parle dans les médias?:)"
13,Fenharel42,27 novembre 2022 à 19:57:21," donc les panda eyes c'est du hasard?les document de justice sur la pédophilie c'est un hasard? , ils font pas ça pour le pognon mais pour passer un message , ça se cache de moins en moins ça veut habituer la masse a voir ce genre de chose  ","la pédophilie de Balenciaga , personne en parle dans les médias?:)"
14,RSAlcoolique,27 novembre 2022 à 19:57:26," ça sert à rien l'auteur, les gens sont dans le deni concernant les réseaux pédo-sataniste, tu comprends c'est IMPENSABLE que leur dirigeant fasse le mal ","la pédophilie de Balenciaga , personne en parle dans les médias?:)"
15,JackLeVert_007,27 novembre 2022 à 19:57:44," Cristóbal Balenciaga Eizaguirre, basque de souche, fervent catholique pratiquanthttps://www.nova.fr/news/cristobal-balenciaga-pretre-de-la-mode-14433-28-02-2017/ ","la pédophilie de Balenciaga , personne en parle dans les médias?:)"
16,William_MINERVA,27 novembre 2022 à 19:57:44, quel rapport avec les yeux de la peluche ?  ,"la pédophilie de Balenciaga , personne en parle dans les médias?:)"
17,PauvreIdiot,27 novembre 2022 à 19:57:55, C'est quoi les yeux de la peluche ? ,"la pédophilie de Balenciaga , personne en parle dans les médias?:)"
18,Peliculiar,27 novembre 2022 à 19:58:26, Ils en ont parlé dans Quotidien je crois. ,"la pédophilie de Balenciaga , personne en parle dans les médias?:)"
19,Egaux,27 novembre 2022 à 19:58:37, Ou que le vêtement n’est pas le produit principal mais plutôt ce qui peut représenter un « package »  ,"la pédophilie de Balenciaga , personne en parle dans les médias?:)"
0,jeune_arbre,29 novembre 2022 à 09:38:58," https://www.20minutes.fr/nantes/4010216-20221117-nantes-nouveau-parking-velos-geant-gare-entache-trop-nombreux-vols, « Attention, vols de vélo fréquents ! » Depuis quelques jours, les usagers de la Cyclo station, à Nantes, sont prévenus. S’ils décident d’attacher leur deux-roues dans ce grand parking ouvert de 700 places, situé tout près de la gare SNCF, pas sûr qu’ils le retrouveront à leur retour. Las d’alerter la métropole sur les fréquents vols et dégradations constatés sous l’équipement, l’association Place au vélo a récemment affiché de petits messages d’alerte sur place. « Nous constatons de trop nombreux vols, et en augmentation, en accord avec la tendance nationale, se désole Annie-Claude Thiolat, la présidente. Il y a un an, on était satisfaits de cet aménagement qui est exceptionnel par sa capacité et sa proximité avec la gare. C’est un beau parking mais entaché par des conditions de sécurité et de surveillance qui ne sont pas réunies. » ",NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
1,AnjouAstral46,29 novembre 2022 à 09:39:26, Naoned comme on dit en breton ,NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
2,Galvao,29 novembre 2022 à 09:39:29, Nanted ,NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
3,Akas3n,29 novembre 2022 à 09:40:12, Faut être sacrément con / crédule pour laisser son vélo ici aussi ,NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
4,MacronZeBoss,29 novembre 2022 à 09:40:19, Nantes.   ,NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
5,PasDeBolLeLow6,29 novembre 2022 à 09:40:22," Qu'ils regardent sur LBC, ils retrouveront tout les vélos en vente dessus.  ",NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
6,trapo,29 novembre 2022 à 09:40:24, nanted ,NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
7,White-Rock,29 novembre 2022 à 09:40:52, Toujours des infos étonNantes  ,NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
8,jeune_arbre,29 novembre 2022 à 09:41:06, oui mais comment tu le récupère  ,NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
9,NeutrinoBC4,29 novembre 2022 à 09:41:21, Faut être sacrément con pour posséder quelque chose à Nantes  ,NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
10,TibiaDeKaki,29 novembre 2022 à 09:41:47," Les gens qui votent à gauche méritent de patauger dans la merde qu'ils ont créé, Total soutien aux chances ",NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
11,Doblin,29 novembre 2022 à 09:42:18, T'es sûr ? ,NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
12,kakatropic005,29 novembre 2022 à 09:42:51," C'est fou quand même, je suis en Corée je laisse mon vélo personne n'aura l'idée de le velo, moi pareil  , En vivant ici je me rend compte à quel point ça complique tout la situation de la France, sur tous les domaines., Un parking ? faut des gardiens sinon ça pèteDes travaux ? faut des gardiens sinon vol du materielDes velos ? Faut des gardiens sinon ils iront en afrique , Même pour laisser poser des objets faut payer en France  ",NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
13,CalcioStorico,29 novembre 2022 à 09:43:19, Dieu se rit des gens qui déplorent les conséquences dont ils chérissent les causes. ,NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
14,Radiateur500W,29 novembre 2022 à 09:43:19, Premier low qui pense pouvoir récupérer son vélo sur lbc Ça part directement au Maghreb maintenant  ,NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
15,Z402,29 novembre 2022 à 09:45:31, Vigile ou flic à Nantes un métier d'avenir  ,NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
16,zadee,29 novembre 2022 à 09:45:33, La dichotomie de ces tarés qui consiste a implanter des fonctionnalités basées sur le civisme des gens tout en important massivement des populations primitives du tiers monde   ,NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
17,AntoineFandePS3,29 novembre 2022 à 09:46:16, C'est trop compliqué de poster des flics discrets puis choper les voleurs sur le tas ?  ,NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
18,imelon,29 novembre 2022 à 09:47:21, Nanted ,NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
19,zinzin_malin1,29 novembre 2022 à 09:47:54, NANTES ! ,NANTES ouvre un PARKING à VELOS GEANTS : les VOLEURS y font leur MARCHE
0,Jeanculasec1er,29 novembre 2022 à 08:34:03, https://twitter.com/CNEWSEWS/status/1597473379950501889titre   ,Paris : Un rat sort de la manche
1,Jeanculasec1er,29 novembre 2022 à 08:34:39," Paris : interrogée par CNews alors qu’elle sort du métro, un rat sort de sa manche  ",Paris : Un rat sort de la manche
2,Anyny_Wonky,29 novembre 2022 à 08:36:02, Il n'avait pas à faire ça on est d'accord. ,Paris : Un rat sort de la manche
3,Vener44,29 novembre 2022 à 08:36:16, Oui mais au moins ils ont le métro et la tour Eiffel  ,Paris : Un rat sort de la manche
4,yixoh38014,29 novembre 2022 à 08:37:25, Ahi cet enfer  ,Paris : Un rat sort de la manche
5,Holdenolebeau,29 novembre 2022 à 08:37:44, Paris  ,Paris : Un rat sort de la manche
6,CouillesLisses,29 novembre 2022 à 08:38:25, On dit surmulot  ,Paris : Un rat sort de la manche
7,Asska,29 novembre 2022 à 08:39:18, Le titre est malheureusement nofake ,Paris : Un rat sort de la manche
